Bus,Month,Route,end,start,type
3,August,5,2018-08-17 08:04,2018-08-17 07:40,running
3,August,5,2018-08-17 08:44,2018-08-17 08:20,running
3,August,5,2018-08-17 09:24,2018-08-17 09:00,running
3,August,5,2018-08-17 10:04,2018-08-17 09:40,running
3,August,5,2018-08-17 10:44,2018-08-17 10:20,running
3,August,5,2018-08-17 11:24,2018-08-17 11:00,running
3,August,5,2018-08-17 12:04,2018-08-17 11:40,running
3,August,5,2018-08-17 12:44,2018-08-17 12:20,running
3,August,5,2018-08-17 13:24,2018-08-17 13:00,running
3,August,5,2018-08-17 14:04,2018-08-17 13:40,running
3,August,5,2018-08-17 14:34,2018-08-17 14:10,running
3,August,5,2018-08-17 15:04,2018-08-17 14:40,running
3,August,5,2018-08-17 15:34,2018-08-17 15:04,charging
3,August,5,2018-08-17 16:14,2018-08-17 15:50,running
3,August,5,2018-08-17 16:44,2018-08-17 16:20,running
3,August,5,2018-08-17 17:24,2018-08-17 17:00,running
3,August,5,2018-08-17 18:04,2018-08-17 17:40,running
3,August,5,2018-08-17 18:44,2018-08-17 18:20,running
3,August,5,2018-08-17 19:24,2018-08-17 19:00,running
3,August,5,2018-08-17 20:04,2018-08-17 19:40,running
3,August,5,2018-08-17 20:44,2018-08-17 20:20,running
3,August,5,2018-08-17 21:24,2018-08-17 21:00,running
3,August,5,2018-08-17 22:04,2018-08-17 21:40,running
3,August,5,2018-08-17 22:34,2018-08-17 22:10,running
3,August,5,2018-08-17 23:14,2018-08-17 22:50,running
3,August,5,2018-08-17 23:44,2018-08-17 23:20,running
4,August,5,2018-08-17 06:54,2018-08-17 06:30,running
4,August,5,2018-08-17 07:34,2018-08-17 07:10,running
4,August,5,2018-08-17 08:14,2018-08-17 07:50,running
4,August,5,2018-08-17 08:54,2018-08-17 08:30,running
4,August,5,2018-08-17 09:34,2018-08-17 09:10,running
4,August,5,2018-08-17 10:14,2018-08-17 09:50,running
4,August,5,2018-08-17 10:54,2018-08-17 10:30,running
4,August,5,2018-08-17 11:34,2018-08-17 11:10,running
4,August,5,2018-08-17 12:14,2018-08-17 11:50,running
4,August,5,2018-08-17 12:54,2018-08-17 12:30,running
4,August,5,2018-08-17 13:34,2018-08-17 13:10,running
4,August,5,2018-08-17 14:14,2018-08-17 13:50,running
4,August,5,2018-08-17 14:44,2018-08-17 14:20,running
4,August,5,2018-08-17 15:14,2018-08-17 14:50,running
4,August,5,2018-08-17 15:44,2018-08-17 15:20,running
4,August,5,2018-08-17 16:14,2018-08-17 15:44,charging
4,August,5,2018-08-17 16:54,2018-08-17 16:30,running
4,August,5,2018-08-17 17:34,2018-08-17 17:10,running
4,August,5,2018-08-17 18:14,2018-08-17 17:50,running
4,August,5,2018-08-17 18:54,2018-08-17 18:30,running
4,August,5,2018-08-17 19:34,2018-08-17 19:10,running
4,August,5,2018-08-17 20:14,2018-08-17 19:50,running
4,August,5,2018-08-17 20:54,2018-08-17 20:30,running
4,August,5,2018-08-17 21:34,2018-08-17 21:10,running
4,August,5,2018-08-17 22:14,2018-08-17 21:50,running
4,August,5,2018-08-17 22:44,2018-08-17 22:20,running
4,August,5,2018-08-17 23:24,2018-08-17 23:00,running
4,August,5,2018-08-17 23:54,2018-08-17 23:30,running
1,August,6,2018-08-17 07:07,2018-08-17 06:00,running
1,August,6,2018-08-17 08:27,2018-08-17 07:20,running
1,August,6,2018-08-17 09:47,2018-08-17 08:40,running
1,August,6,2018-08-17 11:07,2018-08-17 10:00,running
1,August,6,2018-08-17 11:37,2018-08-17 11:07,charging
1,August,6,2018-08-17 13:47,2018-08-17 12:40,running
1,August,6,2018-08-17 16:27,2018-08-17 15:20,running
1,August,6,2018-08-17 18:07,2018-08-17 17:00,running
1,August,6,2018-08-17 19:27,2018-08-17 18:20,running
1,August,6,2018-08-17 19:57,2018-08-17 19:27,charging
1,August,6,2018-08-17 21:07,2018-08-17 20:00,running
1,August,6,2018-08-17 23:27,2018-08-17 22:20,running
2,August,6,2018-08-17 07:17,2018-08-17 06:10,running
2,August,6,2018-08-17 08:37,2018-08-17 07:30,running
2,August,6,2018-08-17 09:57,2018-08-17 08:50,running
2,August,6,2018-08-17 11:27,2018-08-17 10:20,running
2,August,6,2018-08-17 14:07,2018-08-17 13:00,running
2,August,6,2018-08-17 14:37,2018-08-17 14:07,charging
2,August,6,2018-08-17 16:47,2018-08-17 15:40,running
2,August,6,2018-08-17 18:17,2018-08-17 17:10,running
2,August,6,2018-08-17 19:37,2018-08-17 18:30,running
2,August,6,2018-08-17 20:47,2018-08-17 19:40,running
2,August,6,2018-08-17 23:07,2018-08-17 22:00,running
2,August,6,2018-08-17 23:37,2018-08-17 23:07,charging
3,August,6,2018-08-17 07:27,2018-08-17 06:20,running
3,August,6,2018-08-17 08:47,2018-08-17 07:40,running
3,August,6,2018-08-17 10:07,2018-08-17 09:00,running
3,August,6,2018-08-17 11:47,2018-08-17 10:40,running
3,August,6,2018-08-17 14:27,2018-08-17 13:20,running
3,August,6,2018-08-17 17:07,2018-08-17 16:00,running
3,August,6,2018-08-17 17:37,2018-08-17 17:07,charging
3,August,6,2018-08-17 18:57,2018-08-17 17:50,running
3,August,6,2018-08-17 20:07,2018-08-17 19:00,running
3,August,6,2018-08-17 21:27,2018-08-17 20:20,running
3,August,6,2018-08-18 00:07,2018-08-17 23:00,running
4,August,6,2018-08-17 07:37,2018-08-17 06:30,running
4,August,6,2018-08-17 08:57,2018-08-17 07:50,running
4,August,6,2018-08-17 10:17,2018-08-17 09:10,running
4,August,6,2018-08-17 12:07,2018-08-17 11:00,running
4,August,6,2018-08-17 14:47,2018-08-17 13:40,running
4,August,6,2018-08-17 17:17,2018-08-17 16:10,running
4,August,6,2018-08-17 18:27,2018-08-17 17:20,running
4,August,6,2018-08-17 18:57,2018-08-17 18:27,charging
4,August,6,2018-08-17 20:17,2018-08-17 19:10,running
4,August,6,2018-08-17 21:47,2018-08-17 20:40,running
4,August,6,2018-08-18 00:27,2018-08-17 23:20,running
5,August,6,2018-08-17 07:47,2018-08-17 06:40,running
5,August,6,2018-08-17 09:07,2018-08-17 08:00,running
5,August,6,2018-08-17 10:27,2018-08-17 09:20,running
5,August,6,2018-08-17 12:47,2018-08-17 11:40,running
5,August,6,2018-08-17 15:27,2018-08-17 14:20,running
5,August,6,2018-08-17 17:37,2018-08-17 16:30,running
5,August,6,2018-08-17 18:47,2018-08-17 17:40,running
5,August,6,2018-08-17 19:57,2018-08-17 18:50,running
5,August,6,2018-08-17 20:27,2018-08-17 19:57,charging
5,August,6,2018-08-17 22:27,2018-08-17 21:20,running
6,August,6,2018-08-17 07:57,2018-08-17 06:50,running
6,August,6,2018-08-17 09:17,2018-08-17 08:10,running
6,August,6,2018-08-17 10:37,2018-08-17 09:30,running
6,August,6,2018-08-17 12:27,2018-08-17 11:20,running
6,August,6,2018-08-17 15:07,2018-08-17 14:00,running
6,August,6,2018-08-17 17:27,2018-08-17 16:20,running
6,August,6,2018-08-17 18:37,2018-08-17 17:30,running
6,August,6,2018-08-17 19:47,2018-08-17 18:40,running
6,August,6,2018-08-17 20:57,2018-08-17 19:50,running
6,August,6,2018-08-17 21:27,2018-08-17 20:57,charging
6,August,6,2018-08-17 23:47,2018-08-17 22:40,running
7,August,6,2018-08-17 08:07,2018-08-17 07:00,running
7,August,6,2018-08-17 09:27,2018-08-17 08:20,running
7,August,6,2018-08-17 10:47,2018-08-17 09:40,running
7,August,6,2018-08-17 13:27,2018-08-17 12:20,running
7,August,6,2018-08-17 16:07,2018-08-17 15:00,running
